CoordinateX,CoordinateY
-10.3498,0.70265
-5.45827,-16.09681
5.62,4.74
-2.56811,1.45363
-9.89,-1.95
-0.05,-4.22
-6.26368,8.6832
7.87,-7.82
-0.68,1.89
-0.19,2.63
-1.87,6.02
-0.61,-12.55
13.3,4.17
-3.91,-1.48
-3.76,-2.3
2.04,0.58
3.09,-2.02
8.75,23.53
11.37,15.45
5.3,-1.26
6.12,-1.99
-8.14,-0.9
-1.65,2.19
1.29,-1.48
5.05,-4.32
-0.38816,-4.8039
-1.04,0.38
5.69,-1.56
0.7,2.8
-14.66,-8.42
10.56516,1.16268
2.85,-1.81
-0.58,4.19
-6.72,-3.46
3.76,4.78
0.15,-2.97
-2.46,2.65
-0.46,26.61
-2.52,9.45
-11.85,6.86
-2.14,8.3
0.89,-0.19
0.8,0.51
6.39607,5.86293
-6.57,-8.09
-0.19,-1.95
-0.93,4.43
4.63,4.92
7.95,3.25
-7.57,-0.07
-5.72,2.46
-6.36,-6.89
12.4,-12.35
14.74,-2.77
1.39,-1.98
1.19,-1.58
-0.8,4.21
-1.26,-2.38
0.26,0.85
-4.61125,-0.63097
11.82,-4.34
0.82,2.25
-3.36765,-0.89639
10.61,2.42
-10.41,10.56
0.79,0.42
5.8,-6.04
118.54,-97.61
-1.11,5.91
-0.19,1.56
-0.63,0.28
-9.91,5.77
4.16706,-4.65167
4.64,-2.89
-1.72,-1.57
8.3142,-8.07098
0.7,-1.68
2.46,-0.9
-11.38,6.85
5.87,2.33
0.17,2.21
-2.06,-0.17
-6.41,-1.89
10.38816,-6.98869
-4.89,-0.22
-3.21,0.18
-14.0513,14.77919
0.87367,-2.81522
-0.55,0.92
7.03603,-1.42631
-10.29,3.35
-2.82,-1.89
-0.21,1.05
-7.51,5.62
7.9,26.68
-3.02,0.76
-0.53,-0.94
-0.02,11.84
0.53,2.72
-1.6,1.41
-26.87836,0.43554
-2.75,3.27
2.55,-2.5
-8.07,-3.32
1.46,-8.11
-1.26,11.6
0.67,0.25
11.95,21.7
-0.19,-1.41
0.22,5.24
11.5,-6.2
3.5311,-3.67622
10.76,-2.62
-39.57,11.72
-2.79096,-0.41256
11.36,-2.75
1.91057,-5.73229
-0.12133,7.25706
-2.41,8.44
-3.5,-1.39
-6.75,1.26
3.6,-2.72
-3.9,-3.56
-1.38091,4.57911
-5.45,-13.35
0.06,-0.95
-0.95,2.22
3.46,5.02
8.58696,-2.00716
4.21,-7.33
-5.44,-5.53
7.88819,-1.96557
-0.52,-0.62
3.89,0.49
2.58,-2.43
4.17406,6.50434
-2.72,-2.24
3.69,4.27
-1.51,0.7
4.15,-6.24
9.61958,3.6578
-4.66,-4.95
-2.06639,-0.17017
-7.29,3.36
-1.18,-1.14
0.92,-2.97
-3.04,-0.22
8.59,-0.44
-2.02,0.95
2.70281,-7.57408
11.4136,-2.05886
1.43,0.56
-11.92,-5.99
-4.42,-0.05
-1.93,2.43
4.14,0.49
1.78,-6.84
2.83324,16.65211
-8.71,-1.82
-6.84,0.39
-0.12,-1.48
0.53,3.98
0.44,1.02
3.53,-1.43
4.9,3.88
3.91,-1.14
1.04,-1.79
0.87368,0.19415
-13.28,9.44
0.99842,-1.09583
7.51,-8.14
0.05,0.62
7.15957,-1.59611
0.54,5.6
-0.9,-8.03
-9.54,13.57
-6.75,1.75
6.99,-6.55
5.31475,6.47994
1.69,-0.29
20,-17.28
5.9,-8.96
-3.94,-1.31
5.9799,-8.801
2.78,0.63
0.39,-6.36
0,-3.29497
-0.04854,3.44625
0.24,4.03
0.65387,-15.14822
8.17909,-5.75137
4.2,4.78
1.96905,-5.42145
-13.35205,1.35863
-1.26197,-2.47544
2.1113,-5.3151
-6.42,5.45
-2.71784,7.91242
6.36,-0.19
-14.15,-14.05
-8.64,2.57
2.51,-2.52
-5.74,-1.43
-3.01,2.67
4.68,-6.09
-10.03,-7.98
1.89,0.87
1.25,-0.19
2.59,0.8
8.62581,3.92441
3.73,-25.46
0.67746,-16.80822
1.46,4.42
0.68,8.59
-3.54,-2.12
-12.62,1.89
-28.04549,0.29082
-0.53,3.64
-5.81,1.58
4.97,-8.66
-1.2,-1.83
-0.51,-0.89
-6.5,-5.68
11.21,7.96
-3.89,-13.96
-1.63,-4.68
-6.5,2.48
-4.14299,0.21804
-17.23973,-2.91077
-2.65,-0.65
-2.86375,1.84442
-0.49,-6.27
0.17,8.08
-3.03,-1.14
